gbn,STD_YM,m_10g_pop,m_20g_pop,m_30g_pop,m_40g_pop,m_50g_pop,m_60g_pop,w_10g_pop,w_20g_pop,w_30g_pop,w_40g_pop,w_50g_pop,w_60g_pop,lon,lat
경기도 성남시,202401,0.0,0.01,0.01,0.03,0.04,0.08,0.01,0.01,0.01,0.01,0.03,0.04,127.02771594669852,37.37288981341221
경기도 성남시,202401,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,127.0282411300368,37.37920155197774
경기도 성남시,202401,0.0,0.0,0.01,0.02,0.03,0.05,0.0,0.0,0.01,0.01,0.01,0.03,127.028272179331,37.37424410011141
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.03,0.04,127.02827500161708,37.37379342246136
경기도 성남시,202401,0.0,0.01,0.02,0.04,0.06,0.11,0.01,0.01,0.02,0.01,0.04,0.06,127.02827782384033,37.373342744776686
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.03,0.04,127.02828064600074,37.37289206705741
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.04,0.04,127.02828346809832,37.37244138930352
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.02828629013308,37.37199071151502
경기도 성남시,202401,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,127.02880587670246,37.37920380343756
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.02882843173067,37.37559838402192
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.03,0.04,127.02883125082676,37.375147706439215
경기도 성남시,202401,0.0,0.0,0.01,0.02,0.03,0.05,0.0,0.0,0.01,0.01,0.01,0.03,127.02883406986008,37.37469702882189
경기도 성남시,202401,0.0,0.0,0.01,0.02,0.03,0.05,0.0,0.0,0.01,0.01,0.01,0.03,127.02883688883064,37.37424635116997
경기도 성남시,202401,0.0,0.0,0.01,0.02,0.03,0.05,0.0,0.0,0.01,0.01,0.01,0.03,127.02883970773844,37.37379567348343
경기도 성남시,202401,0.0,0.01,0.02,0.04,0.06,0.11,0.01,0.01,0.02,0.01,0.04,0.06,127.02884534536577,37.372894318006544
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.02884816408528,37.372443640216176
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.02939033564812,37.3760513100781
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.02939315142838,37.375600632493565
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.03,0.04,127.02939596714596,37.37514995487444
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.02940159839304,37.37424859953233
경기도 성남시,202401,0.0,0.0,0.01,0.02,0.03,0.05,0.0,0.0,0.01,0.01,0.01,0.03,127.02940441392258,37.37379792180936
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.03,0.04,127.0294072293894,37.37334724405179
경기도 성남시,202401,0.0,0.01,0.02,0.04,0.06,0.11,0.01,0.01,0.02,0.01,0.04,0.06,127.02941004479356,37.3728965662596
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.04,0.04,127.02941286013504,37.3724458884328
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.0299550587871,37.37605355588983
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.02995787118876,37.37560287826889
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.02996630801812,37.37425084519848
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.02996912016935,37.37380016743913
경기도 성남시,202401,0.0,0.01,0.02,0.04,0.06,0.11,0.01,0.01,0.02,0.01,0.04,0.06,127.029971932258,37.373349489645165
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.03,0.04,127.02997474428405,37.3728988118166
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.04,0.04,127.02997755624745,37.372448133953405
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.03051978198866,37.37605579900515
경기도 성남시,202401,0.0,0.01,0.02,0.03,0.04,0.07,0.01,0.01,0.02,0.01,0.03,0.04,127.0305310177058,37.37425308816844
경기도 성남시,202401,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.02,127.03053382647876,37.37380241037274
경기도 성남시,202401,0.0,0.01,0.02,0.04,0.06,0.11,0.01,0.01,0.02,0.01,0.04,0.06,127.0305366351892,37.37335173254242
경기도 성남시,202401,0.0,0.01,0.02,0.04,0.06,0.11,0.01,0.01,0.02,0.01,0.04,0.06,127.0305394438371,37.37290105467752
경기도 성남시,202401,0.0,0.01,0.02,0.04,0.06,0.11,0.01,0.01,0.02,0.01,0.04,0.06,127.03054225242244,37.372450376777984
경기도 성남시,202401,0.01,0.06,0.14,0.28,0.36,0.34,0.02,0.04,0.07,0.09,0.12,0.12,127.03106486399216,37.37921278231004