gbn,STD_YM,TMST_00,TMST_01,TMST_02,TMST_03,TMST_04,TMST_05,TMST_06,TMST_07,TMST_08,TMST_09,TMST_10,TMST_11,TMST_12,TMST_13,TMST_14,TMST_15,TMST_16,TMST_17,TMST_18,TMST_19,TMST_20,TMST_21,TMST_22,TMST_23,lon,lat
경기도 성남시,202401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666,0.0,0.002,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.02771594669852,37.37288981341221
경기도 성남시,202401,,,,,,,,0.01,,0.01,0.01,,,,,,,,,,,0.0,,,127.028272179331,37.37424410011141
경기도 성남시,202401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666,0.0,0.0033333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.02827500161708,37.37379342246136
경기도 성남시,202401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666,0.0,0.002,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.02827782384033,37.373342744776686
경기도 성남시,202401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666,0.0,0.0033333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.02828064600074,37.37289206705741
경기도 성남시,202401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666,0.0,0.0033333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.02828346809832,37.37244138930352
경기도 성남시,202401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.02882843173067,37.37559838402192
경기도 성남시,202401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666,0.0,0.0033333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.02883125082676,37.375147706439215
경기도 성남시,202401,,,,,,,,0.01,,0.01,0.01,,,,,,,,,,,0.0,,,127.02883406986008,37.37469702882189
경기도 성남시,202401,,,,,,,,0.01,,0.01,0.01,,,,,,,,,,,0.0,,,127.02883688883064,37.37424635116997
경기도 성남시,202401,,,,,,,,0.01,,0.01,0.01,,,,,,,,,,,0.0,,,127.02883970773844,37.37379567348343