gbn,STD_YM,hw,w_pop,v_pop,lon,lat
경기도 성남시,202401,H,0.0007142857142857,0.0003061224489795,127.03167444672684,37.37200417633237
경기도 성남시,202401,H,0.0004838709677419,0.0009139784946236,127.03224193803784,37.37155573295513
경기도 성남시,202401,H,0.0016039603960396,0.0028316831683168,127.03223913971124,37.37200641103264
경기도 성남시,202401,H,0.0026966292134831,0.0050080256821829,127.0328066277066,37.37155796492324
경기도 성남시,202401,H,0.0027027027027027,0.0050079491255961,127.03280383275792,37.37200864303692
경기도 성남시,202401,H,0.0022398589065255,0.0039329805996472,127.03280103774703,37.37245932111598
경기도 성남시,202401,H,0.0016326530612244,0.0017687074829931,127.0327982426739,37.372909999160456
경기도 성남시,202401,H,0.003910447761194,0.0072835820895522,127.0333713174376,37.37156019419542
경기도 성남시,202401,H,0.0029347826086956,0.0040942028985507,127.03336852586683,37.37201087234522
경기도 성남시,202401,H,0.0014661654135338,0.0040037593984962,127.03336573423394,37.3724615504604
경기도 성남시,202401,H,0.0013267326732673,0.0035049504950495,127.03336294253889,37.37291222854101
경기도 성남시,202401,H,0.00128,0.0014399999999999,127.03336015078168,37.37336290658699
경기도 성남시,202401,H,0.0006,0.0007999999999999,127.03335735896232,37.37381358459835
경기도 성남시,202401,H,0.0,0.0,127.03335177513712,37.374714940517286
경기도 성남시,202401,H,0.002350936967632,0.004258943781942,127.03393600723076,37.37156242077164
경기도 성남시,202401,H,0.0002564102564102,0.0001709401709401,127.0339220656458,37.373815811355
경기도 성남시,202401,H,0.0006629834254143,0.0006629834254143,127.03450348183888,37.3711139663954
경기도 성남시,202401,H,0.0004458598726114,0.0002547770700636,127.03450069708596,37.37156464465192
경기도 성남시,202401,H,0.0022188449848024,0.0022492401215805,127.03507094969142,37.37066550921662